1	5	2.989595	-7.961092	2.299207	-5.988321	-1.975910	-4.891282	-4.564308	6.072153	0.537203	-6.604563	-5.373826	4.348799	-5.859033	-10.403437	1.819033	2.390959	6.793012	-8.406503	-6.050609	-2.599200
5	5	-0.194692	-9.399067	-0.798116	6.953799	5.247416	-9.111394	2.327246	-5.580833	-7.365428	1.507113	-8.328889	2.758319	-9.009974	0.697788	-1.816303	2.762572	3.033409	-9.886995	-7.056992	5.227116
12	5	1.470188	-11.120592	-3.471092	4.197704	-5.530113	-11.680971	2.843666	1.431665	1.369097	-11.024139	-9.271674	4.542337	-3.662571	4.134212	-9.836584	0.463473	-3.944662	5.329626	-3.135517	-0.249195
16	5	-3.191386	6.550285	-10.405382	-6.218874	2.751242	2.986598	-10.337664	-10.044430	-8.004790	-4.314591	6.539810	-4.321264	1.164951	-6.622041	-6.897925	2.619935	-9.856506	-8.488860	4.298497	1.449415
24	5	0.937298	-8.674353	-9.101744	2.945435	-8.984607	1.071608	-7.492033	5.904907	-10.131951	6.036898	2.672834	-5.215657	1.741241	-6.122426	1.807860	-8.275953	-9.218735	-6.852612	3.387653	1.577594
30	5	-3.084908	7.343398	-5.559632	-4.762997	-9.620675	2.305095	-7.662555	1.574146	1.773705	5.601766	-10.124169	-7.496343	-9.257180	4.027965	2.952802	-8.336883	-9.184403	-4.918742	1.151688	2.458707
36	5	1.024763	-13.282375	-1.717802	2.278124	-7.793734	2.442709	-10.781832	2.136757	1.693751	-9.701913	-8.326755	2.060617	5.170160	-10.090817	1.500888	-4.342311	-7.116656	-8.574082	1.959600	2.639814
50	5	-8.907714	-6.963020	2.867477	2.092838	9.099271	-5.890699	-4.269681	-5.107170	3.835096	-6.048387	0.749339	-8.157762	-7.321531	4.590857	-5.584321	0.939614	3.047456	-3.745801	-8.924256	0.614644
51	5	4.192797	-8.933568	-12.664100	1.602637	-2.921595	-8.922375	-7.555478	6.881620	6.389587	2.232643	-9.134042	-5.016459	-6.421733	2.464866	-10.052924	3.576571	-5.874887	1.839529	2.155930	-7.078447
59	5	-5.037015	-8.117476	6.568589	-5.655974	0.649092	-9.256643	5.387449	-10.389957	-5.933234	-10.800137	-3.495099	6.763373	-8.305483	-11.731331	0.112846	5.094903	-0.371518	-11.049811	-4.111758	3.489295
61	5	-4.406182	-5.151590	-5.840579	5.224663	-7.672142	6.889125	-11.265279	-0.415909	-1.928258	-3.456166	5.056851	-3.285802	-9.321527	0.668617	-8.511440	3.805583	-5.362573	-6.437882	0.270651	3.123354
67	5	2.110000	-7.557661	1.854040	-10.235779	-5.362266	8.045549	-2.966091	-5.483837	-11.308790	2.411170	-4.961200	2.342792	0.688659	4.703792	-7.491912	-9.394873	4.062310	-8.557099	-3.256520	0.232136
77	5	-2.112417	4.892453	-4.529081	-4.771186	-7.857197	2.660446	1.576711	-11.018884	0.841060	-5.703760	6.658599	-9.291676	2.763624	1.438490	-5.854421	-8.254552	3.913284	-7.245402	-5.146696	1.657731
82	5	4.306889	-0.639220	-7.687334	-5.278387	-5.040424	-1.472020	-7.080901	4.191860	-8.653597	-4.465007	-1.179527	5.058471	-4.891789	5.547895	-6.342849	-6.241544	-7.804391	4.189066	-0.601613	-5.772939
