29	10	-2.944974	3.001880	-3.065797	-3.467654	4.669359	-0.739006	-2.986121	5.541474	0.497233	-1.168653	5.018423	2.441999	-0.645394	3.575027	2.813537	-0.927050	2.249210	-3.302829	-3.163301	3.400288	-2.440350	-2.603732	5.792919	0.955414	-1.281181	5.234443	2.340250	-3.046037	5.489939	0.416706
32	10	-2.111601	6.229809	1.645111	4.544004	3.704621	0.401565	5.266485	0.487824	2.008761	-0.451346	0.498497	3.708868	-1.073812	6.250446	1.135358	-2.083548	5.663226	2.683890	6.566004	0.895450	1.196379	-0.142952	5.881694	0.661128	1.921670	4.491145	0.309120	-0.687782	6.171629	0.942023
34	10	-1.868285	-5.202614	-0.511305	4.975923	-8.360840	-0.562942	0.655926	-7.158456	-1.929768	-1.521351	-3.728204	0.810392	2.455500	-5.115634	1.585251	1.448651	-4.126373	1.690787	4.914609	-8.543687	-0.210554	3.943225	-7.475193	0.851029	4.237894	-7.956760	0.625416	2.811351	-5.614318	1.464270
36	10	-1.319752	2.589217	-1.394864	-2.038789	4.017810	-0.125335	-1.081974	3.909858	0.744494	-0.519907	3.224164	0.983888	-2.804966	2.893489	-2.082338	-0.727997	3.569146	0.955870	-0.835605	3.701841	0.906492	-3.709326	3.577940	-1.635988	-4.011908	3.307857	-2.034076	-3.020989	3.797070	-1.046676
40	10	-0.068536	-1.421300	-2.492745	4.276716	-4.304213	2.019503	-1.018025	3.371422	0.795015	1.512460	0.692023	4.143746	0.196920	3.754156	2.625735	-1.033045	0.431469	-1.528514	3.688523	-4.437518	3.642110	3.827289	-4.426226	3.448520	4.444224	-4.048669	0.787582	1.213554	1.922364	3.986648
45	10	1.160761	-5.685542	3.886395	2.366187	-5.708397	4.559567	0.504419	-5.679690	2.853176	2.606466	-5.715299	3.725975	0.744898	-5.681463	3.264830	2.664669	-5.717076	3.292913	0.445291	-5.680526	2.456468	2.425010	-5.710037	4.428566	1.429009	-5.688883	4.272975	2.193952	-5.703822	4.785324
51	10	3.117044	2.357825	-3.272636	4.076339	-0.750148	1.023357	3.959573	-0.391639	1.270797	2.102028	4.557135	0.042534	1.711754	3.723497	-1.313702	1.807388	3.974954	-0.904971	2.777186	2.587006	-3.042362	2.636294	5.118602	1.691965	2.389123	5.029154	0.937688	4.714340	-0.124300	0.153779
52	10	-0.451328	5.095615	3.379699	0.597138	-3.669154	0.743571	-4.380401	0.830329	-0.820629	-5.805768	3.297696	-0.485999	-4.956825	4.274867	0.141215	0.371713	0.724735	3.710467	-0.313289	-0.526994	-0.731839	-0.358377	4.890714	3.440739	-5.984303	3.087459	-0.623405	-6.304707	2.179346	-0.948855
54	10	0.261644	-3.601552	-1.749377	0.727646	4.889450	3.808028	-0.507666	4.058082	0.015232	-0.669032	3.139600	-0.921071	3.328422	-5.144035	5.575213	2.364217	-4.799960	6.019584	1.916510	-4.166330	5.696850	-0.172084	5.382501	1.287986	-0.752916	2.677730	-1.448860	1.814158	-3.882855	5.592067
56	10	5.574685	-0.746307	2.186320	5.624365	-0.644006	1.510189	-1.462743	2.075383	-0.788329	2.821623	-4.724406	7.212108	3.741974	-3.713851	6.978948	-3.909306	6.578327	2.342271	1.144796	0.532723	-1.389771	5.474036	-0.228468	0.213689	-2.123709	3.167643	-0.221070	4.903825	0.030806	-0.364413
63	10	1.419203	1.539945	3.685467	2.569680	1.579976	1.688210	1.156324	2.050568	3.480176	-2.162978	4.490380	-1.056501	1.322255	2.586659	-5.861097	2.980741	1.880749	-1.086413	-0.023812	2.762793	-5.579638	-2.588056	3.442063	-3.959162	1.900468	1.285512	3.598441	2.764602	1.716016	0.470142
67	10	2.700680	-3.152983	6.998174	-3.862652	2.503815	-0.842077	3.790751	-2.719122	6.304847	0.701608	5.392539	6.340472	2.322571	-2.379455	7.105886	1.604999	-0.384095	7.088701	2.138828	-1.903178	7.140960	-4.437570	2.828649	-0.655574	1.043221	0.699291	-2.046981	0.841916	5.188669	6.457200
74	10	2.051150	-2.643499	7.316701	3.854970	-0.640892	6.371368	-3.358993	5.714861	5.770772	-5.903800	4.662446	1.375094	-0.031705	2.960383	6.751650	1.499550	-2.529705	7.380388	-4.475824	5.795862	5.441397	-9.769538	5.859722	3.559988	-3.484713	5.727492	5.733764	0.474746	0.270995	7.038197
75	10	6.466450	0.422320	0.222259	6.620161	-0.281343	0.942058	5.208483	1.235721	-1.388316	-2.201364	4.825871	1.337890	-0.661609	2.932635	-1.485987	0.088799	2.082430	6.851100	-5.688894	5.057935	3.637937	0.281677	1.615205	6.942768	-4.953601	5.120421	2.552930	-0.353376	2.607797	-1.943559
