2	2	-13.445236	-0.686880	1.504761	-0.477191	-14.526209	-3.370029	2.702435	-1.092263	0.129772	-8.000714
3	2	4.763090	-1.586590	-3.919180	0.079792	2.408757	3.188529	-2.916317	-1.653641	-0.307461	-0.367880
4	2	-3.068595	4.556230	-0.226296	0.359318	-10.435990	2.772952	3.448420	-0.224007	0.354952	-4.947506
8	2	-4.517573	0.202871	-0.819236	2.579826	-3.236868	4.394190	-2.770844	-1.763988	2.163874	4.343502
9	2	-8.143596	-0.030599	0.103612	-1.830405	-5.993650	2.082665	-0.634886	-1.119521	-1.295929	3.512214
10	2	10.220696	0.647573	-2.498227	2.280648	3.901791	5.778755	0.648962	-2.384277	2.279518	-1.239140
13	2	2.587623	1.051742	0.349124	-0.359559	-8.635529	-1.758360	2.592276	0.142954	-0.174326	-11.433124
17	2	9.021105	2.058326	-3.746130	1.387772	4.594633	-3.006002	5.832038	-0.394340	1.129563	-6.609546
20	2	1.952998	0.944125	-3.290039	0.794742	-3.468037	-2.645914	1.257738	-3.598683	0.872652	-7.269044
22	2	-0.661205	1.325908	-0.876999	1.793906	-6.539771	-9.989155	-0.560091	2.437019	-5.633217	-15.072828
24	2	7.013287	1.212025	-2.320966	1.327908	3.414765	-13.937824	0.102849	3.496381	0.424830	-11.181498
28	2	-5.010789	0.297414	-1.474760	6.252059	-7.631216	2.606151	-0.636195	-5.946348	6.180913	4.246108
29	2	7.356908	-1.104276	-3.035021	3.065215	1.790188	2.898248	0.223750	-0.577496	3.248322	-3.910896
34	2	-6.875223	5.541496	0.232709	-1.036867	-8.022066	7.035475	1.696276	-1.503198	1.139039	5.410111
36	2	2.880812	2.240176	1.027064	-1.964040	-3.036725	-7.005899	6.049665	-0.212759	-0.991356	-8.888211
38	2	-11.056170	-0.454677	4.153680	-2.684773	-14.742615	4.938149	0.813783	-2.845279	0.691097	4.201353
39	2	3.665273	-1.684172	-4.281555	3.314609	6.422492	-6.245496	0.376103	2.101026	1.825975	-6.637777
41	2	7.189485	-1.119739	-3.241525	3.252028	3.214347	-7.463389	-1.645622	1.774646	1.195847	-9.663627
42	2	1.807133	-0.130332	-2.924670	2.319104	6.574072	-9.897937	-5.229487	3.727346	-0.897848	-1.286019
51	2	-1.653238	1.833698	-0.772314	3.979630	-2.663123	5.532562	-0.345569	-2.038673	2.797992	5.249303
52	2	8.364328	-0.113479	-4.085004	2.256522	4.831676	6.072564	-0.132358	-3.336033	2.240860	-1.282286
54	2	-6.620394	3.345363	1.398107	0.745662	-9.853737	8.153675	4.688316	-1.460488	1.286098	3.382184
56	2	3.278810	0.981107	-2.777072	1.277005	3.267930	2.955895	1.242968	-0.441906	1.101363	-2.490137
65	2	6.362283	-0.791508	-0.061357	-0.534270	1.717890	-6.014077	0.540667	1.931115	-1.509948	-6.301744
66	2	-11.387367	0.587338	1.024563	0.864859	-9.175417	1.534770	0.405250	0.093817	0.848492	0.682202
67	2	2.468943	0.299875	-0.243056	-0.115518	4.372317	-5.502590	0.961358	1.177702	-0.340435	0.360594
68	2	-0.999692	6.994474	-2.095939	2.075450	-4.038951	9.977338	2.032972	-3.269378	1.946269	6.390264
72	2	10.487699	2.352161	-4.947931	1.471726	5.782750	2.995167	0.466615	0.836026	-4.801275	-4.411844
77	2	-2.850866	5.529093	-0.013244	1.239173	-3.088960	10.110291	1.408545	-3.840710	2.208085	7.187478
90	2	-14.940832	-0.113687	1.584522	-8.503512	-15.463036	-6.278887	2.341928	-0.434840	-3.194206	-9.977081
92	2	-5.733442	8.550685	-0.239982	-0.771136	-6.071372	9.174094	4.081414	-1.828056	0.032035	4.258757
93	2	5.247388	0.169306	-3.753592	1.739527	5.873367	-2.324118	3.111107	-1.933844	1.952785	-5.597349
96	2	0.963502	-2.174442	-2.319834	1.323608	4.104570	-14.745271	0.043431	3.402871	-1.432642	-7.156827
