1	3	3.117513	0.942240	-2.185822	-4.631896	-2.151522	5.203776	2.474766	-5.304142	-2.495733	1.283906	0.638091	2.882515
11	3	1.464996	-1.319001	-3.667895	2.916640	-9.367105	3.280370	2.155396	7.616010	2.394731	2.561802	-2.796683	-3.924396
16	3	-5.257607	7.432308	2.759554	-3.730753	2.422662	2.858637	-1.922956	-3.915148	-6.172495	0.805497	0.618521	5.908455
19	3	0.180958	4.897892	1.915608	-3.530992	-7.935404	-0.402930	0.365096	6.645628	-4.774105	6.017750	3.531670	-5.985989
23	3	0.607980	5.917849	1.038853	-5.218782	-5.758490	1.627154	-0.633665	3.751470	-0.196210	4.672167	1.392982	1.822998
33	3	0.100116	5.610507	0.894874	-0.981863	-9.029511	2.470041	0.420460	5.311706	-2.626087	2.189788	0.179289	5.312069
40	3	4.556031	2.793602	0.650214	-4.875406	-1.483023	0.031112	-1.210286	6.764572	-4.417355	0.322804	1.176808	5.744964
41	3	4.646662	-0.798272	0.190065	-6.926159	-4.346876	0.443980	2.774081	4.012372	-3.998648	4.987937	3.509223	-2.529818
46	3	-7.830172	7.539725	3.220597	1.515745	1.042814	5.306771	3.018726	-6.911873	5.706718	1.033912	2.768089	-9.439733
50	3	1.808521	0.776164	0.995678	-2.046313	-2.905767	3.760374	4.429944	-3.862256	-8.591756	0.171057	1.269107	5.682740
54	3	3.550906	0.937713	-0.900726	-0.678310	0.070923	5.487912	2.431830	-4.800812	-6.714710	5.258683	2.556235	-1.497756
65	3	1.511098	0.632789	-2.250165	3.228141	-2.402436	0.985530	1.241405	4.890405	8.593398	2.378622	-0.224891	-2.394515
66	3	4.104350	0.975495	-0.129494	1.513903	-5.907159	6.044671	3.375392	-4.271094	4.267068	1.228413	0.051220	-2.189526
76	3	1.667846	1.041191	0.425713	-4.959939	-3.385734	6.762500	1.891121	-1.104661	-6.004651	4.171474	1.944423	4.466189
89	3	3.029700	5.306136	2.981633	-4.111724	-7.012472	4.650599	3.816914	5.802267	0.901551	1.640639	2.270981	5.116682
90	3	-2.701573	7.860544	1.842108	-4.342409	-3.463088	5.457465	1.843405	2.248035	-11.300350	2.018536	-2.218886	6.569122
