7	4	0.968745	-8.582872	-10.393811	1.639400	-2.043823	5.691030	-1.040249	-5.508870	4.799503	0.650157	-7.319474	-10.108353	0.136057	-4.083087	0.837682	-6.956396
11	4	-6.363290	5.490583	-1.516556	-4.261414	0.171212	-8.271100	-4.079958	6.288156	-4.030306	-2.845513	-2.545088	7.798849	-0.140557	-6.740637	3.533296	-3.814027
25	4	-5.093446	9.012067	-5.677562	-8.583753	6.287069	-2.880219	-6.959227	-7.407166	-6.992644	7.731889	0.631819	-12.344043	0.843879	3.522708	-10.923021	-10.632782
38	4	3.444667	-11.452336	1.159223	-11.328846	-2.502834	0.452008	4.962234	-10.502311	7.299685	-0.863078	-5.168894	-8.270161	7.445587	-7.287787	-5.110119	-7.178759
49	4	-7.848713	1.351011	-8.355916	6.262778	-5.740796	-8.536043	4.156197	2.612300	2.685049	-10.136377	-8.530867	3.935778	-1.025422	-8.664850	3.982125	2.620823
52	4	0.731499	3.333753	-12.348223	-4.637964	-2.250469	2.617512	-12.276234	0.731442	4.982673	-6.454857	-15.342549	0.287188	6.637731	-3.354321	-14.145569	-1.729143
56	4	4.124595	-8.210670	-6.916355	-5.445162	-7.385962	4.602555	-6.767790	-5.875222	-7.556083	-8.336659	-7.301807	5.892983	-5.516293	-7.739559	4.620308	-7.017245
71	4	-8.231390	5.539162	-3.101298	-5.490848	-12.120334	-8.150382	3.624018	0.573290	-9.403697	-5.162438	6.568266	-4.815267	-11.209625	0.818851	4.296458	-10.030009
87	4	1.979131	-12.214835	-5.721803	6.870874	-5.481492	6.127245	-1.419997	-3.340940	-5.257953	0.221059	-4.147940	7.222936	-11.286538	2.972135	1.464481	-5.386038
91	4	0.750525	-4.453329	2.704695	-9.918682	0.170277	4.555748	-4.802500	-7.380892	-0.560504	-0.098511	1.842718	-6.521717	5.107776	-5.019670	0.061359	-11.757083
100	4	-9.169097	-9.543645	2.748232	6.589937	-9.094619	1.132549	6.651539	-7.158562	-7.220730	-6.333336	-2.185352	9.321857	-11.617166	2.264432	-5.610269	3.900001
