14	6	-5.491842	5.421771	-2.987213	-5.897442	0.712686	-8.387132	1.889185	-10.670768	-4.272540	-6.727292	-6.161775	5.165935	1.732829	-11.637341	-8.217430	1.285543	-5.356154	-4.546863	4.037300	-6.910712	0.378567	2.746631	-5.879870	-7.859913
18	6	-6.700095	-5.587736	-7.235147	8.432763	2.573972	-8.580019	3.160640	-6.013502	2.747685	-0.013508	-8.667375	-5.127809	-0.627191	-6.085333	-7.864623	5.524555	-8.048734	0.372695	-13.054921	5.636074	-0.423276	4.542971	-7.482276	-6.714884
20	6	-5.915503	2.162907	3.069791	-7.386764	2.150202	2.857508	-6.519385	-9.402837	0.401748	-4.826043	-8.051314	3.615918	-5.807782	1.384356	-8.912546	3.233556	-10.967340	-6.289784	1.505230	4.638833	0.367529	-4.028212	3.944637	-7.093712
23	6	3.812438	-6.800612	-9.406126	1.254497	-10.301097	5.580852	3.146194	-9.442948	-6.784950	7.288073	-3.234792	-0.473979	1.469457	-5.730806	2.499691	-8.303251	0.487061	3.534109	-4.513401	-7.801853	-5.506283	-3.244542	-4.630415	6.842600
37	6	-8.611121	3.486167	1.252282	-10.680020	5.092131	-7.654571	0.750732	-10.975595	-5.315783	-7.030242	6.360216	-7.961082	0.540357	1.239629	-8.532779	-12.904540	-5.693263	5.774089	-3.832281	-7.417678	6.899199	-5.951640	-4.324490	-8.397802
54	6	0.046038	-3.557082	-5.322950	6.790313	-6.278188	-4.065364	2.088635	3.148042	2.498415	-7.265627	2.871021	-7.091751	-5.578900	2.024827	4.258829	-7.971999	-6.585038	6.327201	-3.974216	1.220227	0.673620	3.549486	-4.102409	-6.743360
55	6	-11.424562	2.848152	3.531906	-6.173580	-5.164933	7.777600	-3.888534	-2.931657	0.264846	-5.749026	3.273381	-3.166941	-8.430900	-7.104026	2.510651	2.011404	4.087555	-6.399486	-9.229922	1.789320	0.895808	3.712674	-8.772105	-3.597191
76	6	1.862261	3.550797	-9.150393	-9.385432	5.196486	-4.411211	1.289624	-10.234418	-4.623326	3.301849	0.659960	-8.853598	-6.196734	-6.242495	0.788390	2.816342	-9.808831	2.538976	-11.223608	0.964720	0.611726	-4.802329	-7.183366	5.332125
79	6	-7.863862	4.731572	0.174246	-6.089328	8.584800	-7.625035	-5.316024	-2.660465	-4.043939	-5.871999	0.266954	1.977291	-2.697044	5.283197	-5.586249	-4.653694	3.411588	-8.278312	3.228693	-6.560659	2.137728	1.545794	-4.379884	-8.663457
86	6	2.173311	1.778071	-8.135959	-11.017941	-3.293008	-6.598817	-6.690710	6.320604	8.477552	-3.632531	-5.466559	-6.265384	2.543849	-9.049337	3.349092	-12.656507	-3.711682	4.949281	-5.296489	-4.723852	-3.285295	-5.826671	6.486818	-6.125648
98	6	-7.384869	-5.286218	6.759898	0.200077	-7.266919	4.897551	-5.432648	0.367227	0.156176	-7.021915	4.794828	-5.675113	-4.981943	5.904815	-4.685571	-4.316137	-5.319052	-4.347681	7.396680	-4.486544	-10.387587	0.988244	1.456803	-4.817450
