1	2	90	7.062469	4.545382	-2.244360	-3.801267
1	2	10	-3.830498	1.756964	3.682169	7.303086
2	2	64	6.948114	3.528978	3.838673	-1.488337
2	2	36	-2.726579	0.458844	7.220032	6.569615
3	1	100	-5.130468	0.736420	2.734173	6.761397
4	1	100	-7.944357	-2.805844	4.494236	5.964613
5	1	100	7.069406	6.537300	-6.906865	-6.585501
6	1	100	8.427280	4.098838	-2.572188	-11.419672
7	1	100	4.595076	5.739154	2.023914	-5.807731
8	1	100	7.035497	3.661859	1.350649	-0.678633
9	2	34	0.316461	0.207650	7.798738	6.650367
9	2	66	8.688055	4.636373	-3.751115	-8.932045
10	1	100	7.887835	3.524460	1.558063	-10.592230
11	1	100	-5.399384	1.608222	5.024114	6.317953
12	1	100	6.943904	3.489237	-7.173033	-6.199273
13	1	100	5.871997	3.807465	-7.918365	-11.739967
14	1	100	-6.345660	-1.926220	7.514792	4.484412
15	2	83	-4.904443	0.392595	7.622547	7.991238
15	2	17	5.831723	2.447101	3.780013	1.576646
16	1	100	-6.749656	-0.796826	7.210693	6.499352
17	2	12	5.646453	4.027019	-1.601326	-5.584324
17	2	88	-7.217034	-0.001966	7.568587	6.642663
18	2	49	7.202888	3.760116	-5.646133	-5.217097
18	2	51	-2.914318	1.433970	5.926046	6.723422
19	2	41	-0.807019	-0.248242	6.905898	6.252045
19	2	59	6.126998	3.418617	0.138240	-5.043804
20	1	100	-4.804091	0.490704	6.425852	7.759840
21	2	7	5.113791	2.660065	0.769055	0.837878
21	2	93	-2.287916	-0.338000	6.366425	6.460424
22	1	100	-0.695392	2.292935	7.283740	2.324461
23	2	25	5.587447	4.287898	1.711632	-3.757281
23	2	75	-2.302216	1.264563	5.692307	7.453721
24	2	47	-1.337686	-4.660130	5.074673	4.591910
24	2	53	5.749650	1.564606	-1.376871	-3.867033
25	2	81	4.315875	3.332893	-0.552525	-1.128375
25	2	19	-4.148982	0.363847	5.576839	7.546412
26	1	100	-3.943055	-2.200666	8.575110	7.970313
27	1	100	-3.054514	1.372012	7.189594	3.075345
28	2	76	-1.204048	1.019509	3.260011	3.536905
28	2	24	5.734960	3.970218	-3.430792	-10.433441
29	1	100	-2.124086	2.631973	3.372864	3.855818
30	1	100	5.997033	4.587254	-5.177795	-5.362171
31	1	100	-1.324602	1.696248	6.885018	3.934985
32	1	100	-5.705790	2.068318	6.883632	-0.489730
33	2	64	7.323981	3.946112	-2.977724	-6.719284
33	2	36	-1.528615	-1.091024	6.767129	6.205073
34	2	58	8.512961	3.451985	0.508419	-1.168711
34	2	42	0.090830	1.720830	8.350755	6.122199
35	1	100	6.901979	5.907856	-2.633099	-9.671898
36	2	73	-3.058464	-1.278586	4.034524	9.097447
36	2	27	7.076989	1.609970	2.920528	2.092201
37	2	71	-4.430574	2.750258	6.045152	3.949518
37	2	29	7.375929	4.942956	-2.722494	-10.931064
38	2	68	-1.589294	2.900884	5.663518	7.335211
38	2	32	5.403526	3.876892	1.785482	-3.173693
39	1	100	-7.094373	-1.697350	6.636638	8.298182
40	2	75	-6.153739	-0.108612	8.699090	5.873974
40	2	25	4.463210	4.136150	-0.929058	-2.234473
41	2	29	6.855608	3.241305	-1.842584	-4.202774
41	2	71	-5.255778	-1.319603	5.013297	6.767655
42	1	100	8.135976	4.966751	-2.432261	-3.681508
43	2	47	7.000193	4.871358	-4.217582	-6.700415
43	2	53	0.062205	2.298982	5.347137	5.927916
44	2	33	5.648729	3.724258	-1.268447	-4.362257
44	2	67	-4.095957	-0.331459	5.446206	3.852234
45	1	100	-9.406044	-0.851105	7.991372	8.285681
46	1	100	-3.121671	1.083009	6.317536	5.712258
47	1	100	7.430841	4.427641	-4.472483	-5.371604
48	2	80	-3.782986	2.290030	5.812408	7.903114
48	2	20	6.382160	4.270675	-1.994893	-1.276350
49	1	100	6.317999	3.821421	-5.689613	-4.906685
50	1	100	6.525404	4.372523	-2.991128	-5.256834
51	1	100	6.898540	5.446644	-0.375058	0.562561
52	2	68	-2.758699	-0.104125	4.930105	4.264829
52	2	32	5.743368	3.333445	-0.008875	-7.187754
53	3	53	6.443442	4.169605	1.949187	-5.541623
53	3	21	2.065677	0.426650	5.962141	5.062163
53	3	26	-3.469218	0.274929	6.561018	5.085841
54	1	100	-5.730868	0.065072	6.635014	7.158404
55	2	63	-2.297102	-2.987243	6.990229	6.725657
55	2	37	5.130267	1.790277	3.763663	1.800725
56	1	100	-7.170277	-0.132666	5.151696	5.554287
57	3	47	1.833529	4.680894	3.508405	2.778156
57	3	32	7.239547	5.340245	-2.478233	-6.402098
57	3	21	-3.601926	2.613611	8.542386	7.189702
58	1	100	6.935615	4.795960	0.247269	-2.406215
59	1	100	5.981220	4.238952	0.004770	-7.694025
60	1	100	-3.148683	0.788860	7.417488	6.363816
61	2	52	-2.142217	1.694163	6.326812	7.150923
61	2	48	3.774365	3.318876	5.611701	3.770267
62	1	100	8.242033	3.915618	-2.749273	-3.474617
63	1	100	6.855678	3.277892	3.309455	-1.937023
64	1	100	6.850717	4.299232	-2.110661	-4.024401
65	1	100	6.848484	5.429103	-0.078854	-4.448486
66	2	70	6.397487	4.145898	-1.699978	-3.670686
66	2	30	0.493173	1.107155	5.732411	7.541545
67	2	88	4.618819	4.052377	1.052560	4.465763
67	2	12	-3.906264	1.180937	7.780519	8.079116
68	1	100	7.203827	4.698199	2.563761	-4.915467
69	2	41	6.002833	3.925491	-3.374512	-5.271011
69	2	59	-0.331038	1.962117	3.912412	6.305607
70	2	64	-0.973277	3.806470	1.453639	-0.903082
70	2	36	6.530823	5.203131	-6.345379	-10.257512
71	2	44	4.563863	2.748940	-2.022210	-0.139879
71	2	56	-0.202695	-1.133775	6.525770	5.968659
72	2	38	5.372247	2.956766	3.834858	2.151786
72	2	62	-2.820304	0.545563	5.553379	5.622068
73	1	100	8.192155	4.560727	-1.828262	-6.359124
74	2	80	7.233884	7.576225	-0.262257	-9.603171
74	2	20	-0.920510	1.817136	7.463638	8.071942
75	1	100	5.825447	3.116766	-3.020204	-3.836968
76	1	100	-2.674703	-4.845415	6.169786	5.953717
77	1	100	-2.888004	1.462485	6.488932	4.747868
78	1	100	-5.739868	-0.746907	5.018851	5.051460
79	1	100	-6.883858	-4.918092	7.080891	4.030936
80	2	76	-6.235649	0.594621	5.782807	5.370329
80	2	24	4.256599	3.662610	4.001954	1.328870
81	1	100	-6.922075	0.602684	5.702083	5.902625
82	2	71	-4.252485	1.263280	3.256065	4.174321
82	2	29	7.001327	4.590106	-4.970663	-9.217205
83	2	54	5.986373	5.073297	-0.568479	-10.398784
83	2	46	-1.118716	2.688020	5.643501	-1.858168
84	2	51	1.950526	4.215215	1.914163	-3.644619
84	2	49	8.025182	4.906478	-3.892671	-8.500261
85	1	100	7.752862	2.291465	1.764978	-3.826166
86	1	100	-5.520236	1.541085	4.723414	6.613665
87	2	58	0.282411	2.868114	3.485046	5.800468
87	2	42	6.332442	3.745555	-1.759437	-6.509925
