3	1	-5.130468	0.736420	2.734173	6.761397
4	1	-7.944357	-2.805844	4.494236	5.964613
5	1	7.069406	6.537300	-6.906865	-6.585501
6	1	8.427280	4.098838	-2.572188	-11.419672
7	1	4.595076	5.739154	2.023914	-5.807731
8	1	7.035497	3.661859	1.350649	-0.678633
10	1	7.887835	3.524460	1.558063	-10.592230
11	1	-5.399384	1.608222	5.024114	6.317953
12	1	6.943904	3.489237	-7.173033	-6.199273
13	1	5.871997	3.807465	-7.918365	-11.739967
14	1	-6.345660	-1.926220	7.514792	4.484412
16	1	-6.749656	-0.796826	7.210693	6.499352
20	1	-4.804091	0.490704	6.425852	7.759840
22	1	-0.695392	2.292935	7.283740	2.324461
26	1	-3.943055	-2.200666	8.575110	7.970313
27	1	-3.054514	1.372012	7.189594	3.075345
29	1	-2.124086	2.631973	3.372864	3.855818
30	1	5.997033	4.587254	-5.177795	-5.362171
31	1	-1.324602	1.696248	6.885018	3.934985
32	1	-5.705790	2.068318	6.883632	-0.489730
35	1	6.901979	5.907856	-2.633099	-9.671898
39	1	-7.094373	-1.697350	6.636638	8.298182
42	1	8.135976	4.966751	-2.432261	-3.681508
45	1	-9.406044	-0.851105	7.991372	8.285681
46	1	-3.121671	1.083009	6.317536	5.712258
47	1	7.430841	4.427641	-4.472483	-5.371604
49	1	6.317999	3.821421	-5.689613	-4.906685
50	1	6.525404	4.372523	-2.991128	-5.256834
51	1	6.898540	5.446644	-0.375058	0.562561
54	1	-5.730868	0.065072	6.635014	7.158404
56	1	-7.170277	-0.132666	5.151696	5.554287
58	1	6.935615	4.795960	0.247269	-2.406215
59	1	5.981220	4.238952	0.004770	-7.694025
60	1	-3.148683	0.788860	7.417488	6.363816
62	1	8.242033	3.915618	-2.749273	-3.474617
63	1	6.855678	3.277892	3.309455	-1.937023
64	1	6.850717	4.299232	-2.110661	-4.024401
65	1	6.848484	5.429103	-0.078854	-4.448486
68	1	7.203827	4.698199	2.563761	-4.915467
73	1	8.192155	4.560727	-1.828262	-6.359124
75	1	5.825447	3.116766	-3.020204	-3.836968
76	1	-2.674703	-4.845415	6.169786	5.953717
77	1	-2.888004	1.462485	6.488932	4.747868
78	1	-5.739868	-0.746907	5.018851	5.051460
79	1	-6.883858	-4.918092	7.080891	4.030936
81	1	-6.922075	0.602684	5.702083	5.902625
85	1	7.752862	2.291465	1.764978	-3.826166
86	1	-5.520236	1.541085	4.723414	6.613665
88	1	8.622075	5.643932	-1.946617	-7.367133
90	1	-1.541752	2.655502	6.561081	3.089159
93	1	6.306205	5.415549	-4.714444	-7.292521
97	1	0.395604	5.076647	5.079340	2.238622
98	1	-7.233354	-1.372397	5.612534	6.770669
99	1	-3.885103	0.922724	5.297000	8.012758
