1	1	2.849627	6.928891	-2.211533
2	1	1.520426	3.630624	-0.096474
3	1	2.439716	3.949353	7.212862
4	1	-0.643553	3.890313	-0.496898
6	1	3.139937	6.707912	6.192630
7	1	4.016053	4.050287	6.319344
9	1	1.154289	5.800899	7.504361
11	1	4.201693	5.385076	6.689274
12	1	4.218491	6.162713	7.329184
15	1	2.975717	4.574242	6.636981
16	1	2.630634	4.037692	-4.226994
17	1	1.933915	4.112990	-3.328033
18	1	0.460768	7.428020	8.413916
19	1	2.776955	3.951543	6.346408
20	1	3.507617	3.809401	1.558510
21	1	3.256543	5.565675	4.484200
22	1	-0.820758	0.652338	-1.631168
23	1	4.801328	3.870454	5.608111
28	1	3.979980	3.546491	4.697951
29	1	4.022654	3.716645	-6.848038
30	1	1.893118	2.119620	-1.218864
31	1	1.819869	3.897842	-3.887778
32	1	3.098823	2.658278	-2.252741
33	1	4.023892	4.317566	5.398608
34	1	2.560396	4.924481	5.651809
35	1	4.084599	5.097760	-2.060538
36	1	3.767959	4.786222	6.722871
37	1	1.903513	8.659699	5.637529
38	1	3.778733	3.549577	-3.753452
39	1	3.646983	5.708286	7.799656
40	1	3.072399	4.894254	-2.951260
41	1	0.759307	5.154922	5.499020
42	1	2.303973	2.959436	-3.134938
43	1	3.870024	5.682219	-2.549940
44	1	3.553122	1.648421	-3.276050
45	1	1.924424	8.424436	8.568544
46	1	4.339536	3.888014	5.951849
48	1	1.629405	6.214168	-1.700559
49	1	2.377931	2.399520	-5.390016
50	1	2.752234	7.127634	8.592349
51	1	3.710834	3.808788	-2.250846
52	1	2.664086	5.385521	5.311973
53	1	1.211617	5.382340	5.630104
54	1	4.622864	4.055880	2.690475
55	1	3.566587	4.559511	-1.119098
56	1	3.291618	6.336593	-1.953718
57	1	3.508394	5.807558	4.371785
58	1	4.887862	4.218122	0.274011
59	1	2.862016	6.463952	8.185897
60	1	1.231820	5.291905	6.350689
61	1	2.580953	3.411955	-6.665360
63	1	3.013681	2.272585	-5.057427
64	1	3.630167	3.231695	-3.036969
65	1	4.118493	5.459656	7.757817
68	1	4.000031	4.211698	-5.782273
69	1	1.251703	0.747488	-5.254662
70	1	3.650526	5.225797	4.823720
73	1	3.831606	2.887812	-4.420505
74	1	4.776186	6.442816	6.630102
75	1	0.413695	7.288236	7.131912
76	1	4.023278	5.426030	5.466143
77	1	3.078041	2.609531	-1.386425
78	1	3.626910	6.824872	-2.024960
80	1	3.766328	5.154282	-3.283625
81	1	2.646705	5.175010	-2.868205
82	1	2.438978	2.857290	-5.980747
83	1	4.690956	3.453927	-4.337487
85	1	1.915648	3.602505	-3.722851
86	1	0.210471	6.338449	5.505412
91	1	4.117152	2.545864	-2.683644
92	1	3.474919	5.738273	5.777777
93	1	3.902074	5.385126	-0.741699
94	1	2.144582	6.734537	2.369268
95	1	1.854286	3.347835	5.964372
96	1	3.361654	1.593648	-5.982481
97	1	2.614467	4.952199	-7.157235
99	1	1.607459	6.742664	6.689572
100	1	0.546320	4.247240	-4.318475
