2	3	2.015097	-8.246116	1.770685	3.922163	5.310383	7.504271	2.016111	-2.810286	7.504271
3	3	3.670448	6.233098	6.257071	3.637852	3.564610	0.778753	-0.102679	-5.999808	0.778755
10	3	3.573566	3.500200	6.804427	0.613257	-8.297993	2.486169	0.884392	-2.930933	6.804427
20	3	1.627499	-7.532045	4.767935	3.447149	4.760322	8.658004	1.627499	-3.509265	8.658004
21	3	-2.196132	-5.180774	6.931864	-2.638657	-11.363197	1.298249	3.154618	5.085517	6.931864
25	3	2.232131	-11.009093	0.700274	2.232912	-5.730272	6.128293	4.943204	6.000837	6.128293
27	3	0.163671	-11.287804	-0.167185	0.180196	0.638642	6.230366	4.670519	6.494264	6.230366
33	3	5.613452	6.038437	7.570175	4.920985	-0.470045	7.570175	4.569621	-5.780029	1.864728
39	3	4.418802	-0.210907	6.236799	2.971672	-6.942615	0.768252	4.574612	5.067091	6.236799
45	3	2.522546	2.036696	1.063745	3.002114	6.424110	7.424242	1.777826	-4.812395	1.063748
46	3	3.476594	3.675181	6.351831	-2.090394	-6.145207	6.351831	-2.093738	-9.881468	3.418985
69	3	4.705475	4.503250	3.150366	4.706300	8.467164	7.150350	1.204118	-1.979814	3.150366
73	3	4.075995	3.142069	0.759241	4.077585	6.253492	5.932024	2.406811	-5.061675	0.759241
78	3	-0.687832	-5.905633	2.678771	-0.687813	-1.675179	8.267285	3.886870	6.746548	8.267285
79	3	-0.525257	-3.341482	6.922805	4.144946	5.629638	6.922805	-0.525614	-8.430671	1.030113
83	3	4.698833	3.537994	8.617016	0.866380	-4.570542	2.396614	0.866380	-2.899894	8.617016
85	3	0.259709	-8.894177	0.640245	0.259733	-3.235936	6.580782	3.825288	5.810595	6.580782
98	3	2.721963	-6.401044	-0.021161	2.721971	-1.306223	6.014461	4.730321	5.012330	6.014461
100	3	-0.184393	-7.265841	0.737466	2.908233	-1.265476	6.234755	4.653094	4.309662	6.234755
