1	2	6.134038	2.250360	1.023468	1.330347	4.704532	1.440390
3	2	1.887644	-0.871725	6.227766	-0.339125	5.849213	-0.024204
4	2	4.612538	3.475819	-2.348359	-0.245589	4.635643	3.515636
5	2	2.597956	5.714698	-1.317273	7.133096	2.290893	-1.152939
6	2	-4.568037	5.295861	3.375881	1.631569	-0.840323	6.560594
7	2	8.140263	2.327626	-0.938920	2.606135	7.696838	-1.230827
8	2	6.665938	2.345231	-3.754269	0.259617	8.505145	-0.892286
9	2	2.253684	-1.424288	3.840999	0.011219	5.245511	-1.684448
11	2	4.927576	1.174568	0.541415	1.613374	1.063425	4.155466
12	2	0.255181	-1.181546	6.677436	6.647199	0.162869	1.429087
13	2	4.097271	6.205905	-1.267829	-2.194217	1.420923	6.444820
15	2	0.329429	-0.479357	5.121095	0.840987	5.354031	-0.503789
16	2	3.180933	6.240148	0.559548	-1.830650	6.149758	3.733380
17	2	7.594280	-5.064422	1.782156	1.612218	6.202469	-0.131219
18	2	8.442927	-2.101833	0.525044	1.827742	-0.331595	6.085461
22	2	1.096111	-1.901990	7.107973	7.182120	-1.236751	2.395917
24	2	4.565095	3.937878	-0.988392	2.418631	0.714973	5.809946
26	2	1.728123	-1.676420	6.476994	5.696026	-1.244035	3.664563
27	2	-2.927269	2.408020	6.614851	6.792682	-1.239696	1.804176
29	2	7.935097	-1.871234	1.339259	2.558256	1.328881	3.191139
32	2	-0.206157	2.596331	5.862308	5.139126	2.016948	2.030342
33	2	2.945453	0.911752	6.451534	2.772528	7.549380	0.399600
37	2	-0.987966	5.338129	-0.122929	4.668658	-1.923908	1.917246
39	2	8.278922	2.435141	-4.479346	2.886723	-3.208511	5.947548
41	2	-7.193015	7.212356	1.237316	-3.733693	2.384297	7.328085
44	2	1.552624	0.191808	9.048728	-4.564559	6.370111	3.874812
45	2	3.968983	4.358148	0.155131	-0.742732	1.236288	7.183411
46	2	-3.636794	0.310854	6.868220	0.130322	6.524451	0.571839
47	2	-0.289218	7.013673	1.224512	3.104114	-0.912958	6.721995
50	2	0.673214	6.062310	1.444002	-0.712971	-0.082387	6.032031
52	2	-5.870643	6.642838	4.066873	-2.800822	2.396596	8.105963
55	2	1.851978	5.515095	0.707429	7.391089	-0.198995	1.067285
59	2	8.398150	1.945015	2.333340	4.155205	-3.680720	6.138114
60	2	-1.882431	7.880268	0.180226	-2.783653	1.732837	6.650383
62	2	1.699778	5.399733	2.400573	-0.608778	3.133388	7.938274
66	2	1.417928	1.346472	6.702828	7.027664	-1.061161	0.675157
68	2	1.548310	4.948028	-0.168856	6.608656	-0.427327	-1.081975
73	2	6.641788	-0.997035	3.385208	1.130319	7.198392	1.818428
75	2	2.465163	8.404401	-2.720567	-3.323852	6.951214	3.711055
76	2	5.327386	3.250952	-1.467010	4.496301	-0.512452	4.759575
77	2	2.386203	-0.893792	7.166737	6.725967	3.760456	0.567084
79	2	4.908668	3.522906	-1.061980	1.175566	-0.427638	4.480652
83	2	0.850985	6.612228	-1.680389	6.730898	1.402724	-4.866546
84	2	-0.955867	0.561241	8.231673	2.291020	6.841362	2.288865
87	2	2.306476	-5.823174	6.555664	7.491506	-4.294944	1.764383
88	2	-0.291000	3.564893	6.463160	3.900357	6.431998	-1.554427
90	2	1.087198	-1.470171	5.694234	4.889339	2.702401	-3.777038
93	2	-0.796350	-0.018558	6.644039	-1.161727	5.201975	1.709357
94	2	8.059215	2.579382	-1.429831	1.688480	5.362013	-2.157288
99	2	6.523473	1.974914	-2.803519	0.833625	7.006641	1.045948
100	2	1.628409	0.261343	8.372976	5.845550	-1.555943	2.242458
